N,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,ROE,ROA
739.0,HL D&I,2895.0,110.0,-3.66%,5000.0,71070.0,1096.0,25.1,6.3
740.0,TRUE 레버리지 천연가스 선물 ETN(H),10875.0,325.0,-2.90%,0.0,290760.0,1088.0,,
741.0,TIGER 미국채10년선물,12375.0,50.0,+0.41%,0.0,19701.0,1077.0,,
742.0,대구백화점,9920.0,130.0,-1.29%,5000.0,8675.0,1074.0,-2.26,-1.17
743.0,대원화성,2600.0,95.0,-3.53%,500.0,1320063.0,1072.0,-9.53,-5.27
744.0,KODEX 미국나스닥100선물(H),13490.0,170.0,-1.24%,0.0,53266.0,1072.0,,
745.0,조흥,177500.0,4500.0,-2.47%,5000.0,60.0,1065.0,11.52,6.23
746.0,KODEX 미국메타버스나스닥액티브,6375.0,60.0,-0.93%,0.0,28446.0,1065.0,,
747.0,한국내화,2590.0,115.0,-4.25%,500.0,29357.0,1064.0,2.86,2.03
748.0,유니온머티리얼,2530.0,270.0,-9.64%,500.0,2453450.0,1063.0,0.65,0.29
749.0,깨끗한나라,2845.0,60.0,-2.07%,1000.0,43378.0,1059.0,3.75,1.44
750.0,센트랄모텍,12300.0,700.0,-5.38%,500.0,43877.0,1059.0,1.41,0.52
1.0,삼성전자,55200.0,600.0,-1.08%,100.0,3295320.0,2796048.0,516339.0,399075.0
2.0,LG에너지솔루션,477000.0,6000.0,-1.24%,500.0,1116180.0,178519.0,7685.0,9299.0
3.0,SK하이닉스,94900.0,900.0,+0.96%,5000.0,690874.0,429978.0,124103.0,96162.0
4.0,삼성바이오로직스,807000.0,13000.0,-1.59%,2500.0,574374.0,15680.0,5373.0,3936.0
5.0,삼성전자우,50400.0,100.0,-0.20%,100.0,414735.0,,,
6.0,삼성SDI,596000.0,14000.0,-2.30%,5000.0,409837.0,135532.0,10676.0,12504.0
7.0,LG화학,575000.0,16000.0,-2.71%,5000.0,405906.0,426547.0,50255.0,39539.0
8.0,현대차,164500.0,3500.0,-2.08%,5000.0,351484.0,1176106.0,66789.0,56931.0
9.0,기아,68300.0,100.0,+0.15%,5000.0,276863.0,698624.0,50657.0,47603.0
10.0,NAVER,158500.0,3500.0,-2.16%,100.0,260018.0,68176.0,13255.0,164776.0
11.0,셀트리온,165000.0,500.0,+0.30%,1000.0,232307.0,19116.0,7569.0,5958.0
12.0,카카오,47300.0,2550.0,-5.12%,100.0,210637.0,61367.0,5949.0,16462.0
13.0,POSCO홀딩스,237500.0,1000.0,+0.42%,5000.0,200857.0,763323.0,92381.0,71959.0
14.0,삼성물산,107000.0,1000.0,-0.93%,100.0,199969.0,344552.0,11960.0,18291.0
15.0,현대모비스,195500.0,0.0,0.00%,5000.0,184890.0,417022.0,20401.0,23625.0
16.0,KB금융,44700.0,150.0,+0.34%,5000.0,182777.0,589176.0,60976.0,43844.0
17.0,신한지주,34900.0,50.0,-0.14%,5000.0,179014.0,286756.0,59521.0,41126.0
18.0,SK,199500.0,2500.0,-1.24%,200.0,147928.0,983250.0,49355.0,57184.0
19.0,SK이노베이션,151500.0,6000.0,-3.81%,5000.0,140085.0,468429.0,17542.0,5010.0
20.0,삼성생명,65400.0,300.0,+0.46%,500.0,130800.0,350791.0,17010.0,15977.0
21.0,LG전자,78100.0,1700.0,-2.13%,5000.0,127809.0,747216.0,38638.0,14150.0
22.0,포스코케미칼,158500.0,3500.0,-2.16%,500.0,122779.0,19895.0,1217.0,1338.0
23.0,LG,76600.0,1900.0,-2.42%,5000.0,120493.0,68590.0,24601.0,26840.0
24.0,고려아연,604000.0,4000.0,-0.66%,5000.0,119973.0,99768.0,10961.0,8111.0
25.0,KT&G,87200.0,200.0,+0.23%,5000.0,119719.0,52284.0,13384.0,9718.0
26.0,하나금융지주,37500.0,150.0,+0.40%,5000.0,110964.0,416778.0,46311.0,35816.0
27.0,한국전력,17250.0,900.0,-4.96%,5000.0,110739.0,605748.0,-58601.0,-52292.0
28.0,SK텔레콤,48550.0,200.0,-0.41%,100.0,106243.0,167486.0,13872.0,24190.0
29.0,현대중공업,115500.0,6000.0,-4.94%,5000.0,102533.0,83113.0,-8003.0,-8142.0
30.0,S-Oil,82000.0,2900.0,-3.42%,2500.0,92318.0,274639.0,21409.0,13785.0
31.0,삼성화재,188000.0,500.0,+0.27%,500.0,89065.0,244443.0,15069.0,11247.0
32.0,HMM,18150.0,350.0,+1.97%,5000.0,88761.0,137941.0,73775.0,53372.0
33.0,KT,33900.0,450.0,-1.31%,5000.0,88517.0,248980.0,16718.0,14594.0
34.0,LG생활건강,563000.0,18000.0,-3.10%,5000.0,87930.0,80915.0,12896.0,8611.0
35.0,삼성에스디에스,113000.0,4500.0,-3.83%,500.0,87437.0,136300.0,8081.0,6334.0
36.0,한화솔루션,45400.0,2700.0,-5.61%,5000.0,86840.0,107252.0,7383.0,6163.0
37.0,크래프톤,176000.0,4500.0,-2.49%,100.0,86367.0,18863.0,6396.0,5199.0
38.0,삼성전기,114000.0,3000.0,-2.56%,5000.0,85151.0,96750.0,14869.0,9154.0
39.0,우리금융지주,11350.0,0.0,0.00%,5000.0,82635.0,271910.0,36597.0,28074.0
40.0,두산에너빌리티,12600.0,1000.0,-7.35%,5000.0,80427.0,112836.0,8779.0,6458.0
41.0,카카오뱅크,16550.0,1200.0,-6.76%,5000.0,78882.0,10649.0,2569.0,2041.0
42.0,대한항공,20700.0,1400.0,-6.33%,5000.0,76222.0,90168.0,14180.0,5788.0
43.0,기업은행,9970.0,50.0,+0.50%,5000.0,74207.0,174917.0,32313.0,24259.0
44.0,엔씨소프트,322500.0,14500.0,-4.30%,500.0,70802.0,23088.0,3752.0,3957.0
45.0,LG이노텍,280000.0,4000.0,-1.41%,5000.0,66268.0,149456.0,12642.0,8883.0
46.0,현대글로비스,162500.0,1500.0,+0.93%,500.0,60938.0,217796.0,11262.0,7832.0
47.0,CJ제일제당,388500.0,9500.0,-2.39%,5000.0,58486.0,262892.0,15244.0,8924.0
48.0,아모레퍼시픽,94900.0,4700.0,-4.72%,500.0,55510.0,48631.0,3434.0,1809.0
49.0,SK바이오사이언스,72200.0,700.0,-0.96%,500.0,55438.0,9290.0,4742.0,3551.0
50.0,SK스퀘어,38100.0,50.0,-0.13%,100.0,53899.0,11464.0,4198.0,3632.0
51.0,롯데케미칼,155500.0,7000.0,-4.31%,5000.0,53298.0,181205.0,15356.0,14256.0
52.0,한국조선해양,74000.0,3300.0,-4.27%,5000.0,52372.0,154934.0,-13848.0,-11412.0
53.0,F&F,135000.0,4000.0,-2.88%,100.0,51715.0,10892.0,3227.0,2319.0
54.0,강원랜드,23150.0,700.0,-2.94%,500.0,49527.0,7884.0,-527.0,-106.0
55.0,KODEX 200,28365.0,460.0,-1.60%,0.0,48674.0,,,
56.0,LG디스플레이,13500.0,150.0,-1.10%,5000.0,48305.0,298780.0,22306.0,13335.0
57.0,맥쿼리인프라,11600.0,200.0,-1.69%,0.0,46962.0,,,
58.0,삼성엔지니어링,23650.0,150.0,+0.64%,5000.0,46354.0,74867.0,5033.0,3511.0
59.0,카카오페이,34400.0,1800.0,-4.97%,500.0,45643.0,4586.0,-272.0,-339.0
60.0,HD현대,57400.0,600.0,-1.03%,1000.0,45342.0,281587.0,10854.0,1860.0
61.0,하이브,109500.0,5000.0,-4.37%,500.0,45282.0,12559.0,1902.0,1408.0
62.0,LG유플러스,10250.0,200.0,-1.91%,5000.0,44753.0,138511.0,9790.0,7242.0
63.0,삼성중공업,5050.0,250.0,-4.72%,1000.0,44440.0,66220.0,-13120.0,-14521.0
64.0,한국타이어앤테크놀로지,34000.0,300.0,-0.87%,500.0,42118.0,71411.0,6422.0,6043.0
65.0,현대미포조선,102500.0,4000.0,-3.76%,5000.0,40941.0,28872.0,-2173.0,-1601.0
66.0,SK바이오팜,51800.0,1400.0,-2.63%,500.0,40566.0,4186.0,950.0,648.0
67.0,GS,43650.0,400.0,-0.91%,5000.0,40558.0,202401.0,26403.0,16147.0
68.0,유한양행,55300.0,400.0,+0.73%,1000.0,40497.0,16878.0,486.0,991.0
69.0,현대제철,29950.0,500.0,-1.64%,5000.0,39967.0,228499.0,24475.0,15052.0
70.0,현대건설,35800.0,1550.0,-4.15%,5000.0,39865.0,180655.0,7535.0,5544.0
71.0,롯데지주,37400.0,1800.0,-4.59%,200.0,39236.0,99249.0,2164.0,1504.0
72.0,한국항공우주,40000.0,4400.0,-9.91%,5000.0,38990.0,25623.0,583.0,533.0
73.0,코웨이,52500.0,1300.0,-2.42%,500.0,38745.0,36643.0,6402.0,4655.0
74.0,DB손해보험,54600.0,400.0,+0.74%,500.0,38657.0,208806.0,11084.0,8729.0
75.0,오리온,97400.0,700.0,+0.72%,500.0,38508.0,23555.0,3729.0,2637.0
76.0,한온시스템,7210.0,160.0,-2.17%,100.0,38487.0,73514.0,3258.0,3107.0
77.0,금호석유,129500.0,5500.0,-4.07%,5000.0,37962.0,84618.0,24068.0,19656.0
78.0,미래에셋증권,6130.0,100.0,-1.61%,5000.0,37719.0,131448.0,14855.0,11834.0
79.0,넷마블,43300.0,1050.0,-2.37%,100.0,37218.0,25069.0,1510.0,2492.0
80.0,SKC,92500.0,100.0,-0.11%,5000.0,35028.0,33961.0,4647.0,3423.0
81.0,삼성카드,30150.0,100.0,-0.33%,5000.0,34931.0,35881.0,7493.0,5511.0
82.0,SK아이이테크놀로지,48050.0,3050.0,-5.97%,1000.0,34258.0,6038.0,892.0,954.0
83.0,TIGER 차이나전기차SOLACTIVE,13940.0,135.0,-0.96%,0.0,33060.0,,,
84.0,현대오토에버,115000.0,3000.0,+2.68%,500.0,31538.0,20704.0,961.0,714.0
85.0,메리츠화재,27500.0,850.0,-3.00%,500.0,31290.0,118614.0,9076.0,6609.0
86.0,KODEX KOFR금리액티브(합성),100980.0,10.0,+0.01%,0.0,30070.0,,,
87.0,한국가스공사,32450.0,2100.0,-6.08%,5000.0,29956.0,275208.0,12397.0,9645.0
88.0,NH투자증권,8850.0,70.0,-0.78%,5000.0,29352.0,107622.0,12939.0,9315.0
89.0,두산밥캣,28950.0,400.0,-1.36%,500.0,29022.0,58162.0,5953.0,3859.0
90.0,BGF리테일,167000.0,4500.0,-2.62%,1000.0,28864.0,67812.0,1994.0,1476.0
91.0,호텔신라,73500.0,600.0,-0.81%,5000.0,28847.0,37791.0,1188.0,271.0
92.0,현대차2우B,79000.0,1000.0,-1.25%,5000.0,28824.0,,,
93.0,쌍용C&E,5590.0,250.0,-4.28%,100.0,28166.0,16614.0,2487.0,1860.0
94.0,한미약품,227500.0,1500.0,-0.66%,2500.0,28023.0,12032.0,1254.0,815.0
95.0,삼성증권,31000.0,300.0,-0.96%,5000.0,27683.0,98095.0,13087.0,9653.0
96.0,현대해상,30300.0,500.0,+1.68%,500.0,27088.0,188422.0,6393.0,4326.0
97.0,한국금융지주,48150.0,600.0,-1.23%,5000.0,26832.0,137861.0,15210.0,17646.0
98.0,한화에어로스페이스,52600.0,4900.0,-8.52%,5000.0,26631.0,64151.0,3830.0,3018.0
99.0,제일기획,22800.0,50.0,-0.22%,200.0,26229.0,33257.0,2482.0,1676.0
100.0,포스코인터내셔널,21250.0,900.0,-4.06%,5000.0,26217.0,339489.0,5854.0,3565.0
101.0,씨에스윈드,61700.0,400.0,-0.64%,500.0,26020.0,12034.0,1010.0,647.0
102.0,에스디바이오센서,25150.0,1300.0,-4.91%,500.0,25973.0,29300.0,13640.0,10644.0
103.0,메리츠금융지주,20350.0,500.0,-2.40%,500.0,25961.0,356499.0,18006.0,13832.0
104.0,현대로템,23500.0,1200.0,-4.86%,5000.0,25648.0,28725.0,802.0,514.0
105.0,일진머티리얼즈,54200.0,300.0,-0.55%,500.0,24992.0,6889.0,699.0,632.0
106.0,GS리테일,23800.0,800.0,-3.25%,1000.0,24923.0,97657.0,2085.0,8013.0
107.0,롯데쇼핑,87400.0,1700.0,-1.91%,5000.0,24724.0,155736.0,2076.0,-2730.0
108.0,KODEX 200선물인버스2X,3835.0,115.0,+3.09%,0.0,24068.0,,,
109.0,팬오션,4415.0,60.0,-1.34%,1000.0,23601.0,46161.0,5729.0,5493.0
110.0,한진칼,35200.0,550.0,-1.54%,2500.0,23500.0,3953.0,-1952.0,-357.0
111.0,이마트,83500.0,3700.0,-4.24%,5000.0,23276.0,249327.0,3168.0,15891.0
112.0,신세계,228000.0,3000.0,+1.33%,5000.0,22447.0,63164.0,5174.0,3889.0
113.0,OCI,92100.0,800.0,-0.86%,5000.0,21965.0,32440.0,6260.0,6521.0
114.0,메리츠증권,3425.0,25.0,-0.72%,1000.0,21910.0,232474.0,9489.0,7829.0
115.0,KCC,238500.0,6500.0,-2.65%,5000.0,21194.0,58749.0,3888.0,-532.0
116.0,에스원,54700.0,1000.0,-1.80%,500.0,20786.0,23125.0,1797.0,1290.0
117.0,LG화학우,270000.0,1500.0,-0.55%,5000.0,20760.0,,,
118.0,KODEX 레버리지,11900.0,375.0,-3.05%,0.0,20391.0,,,
119.0,TIGER 미국나스닥100,68975.0,605.0,-0.87%,0.0,20182.0,,,
120.0,한미사이언스,29350.0,450.0,-1.51%,500.0,20141.0,9502.0,589.0,429.0
121.0,BNK금융지주,6150.0,20.0,-0.32%,5000.0,20045.0,55807.0,10920.0,8342.0
122.0,CJ,68500.0,900.0,-1.30%,5000.0,19986.0,344840.0,18818.0,8070.0
123.0,아모레G,23750.0,500.0,-2.06%,500.0,19584.0,53261.0,3562.0,2920.0
124.0,한화시스템,10250.0,650.0,-5.96%,5000.0,19364.0,20895.0,1120.0,979.0
125.0,동서,19350.0,200.0,-1.02%,500.0,19292.0,5353.0,384.0,1151.0
126.0,HL만도,41050.0,1000.0,-2.38%,1000.0,19276.0,61474.0,2323.0,1786.0
127.0,키움증권,73400.0,1600.0,-2.13%,5000.0,19245.0,58662.0,12089.0,9102.0
128.0,현대차우,78300.0,500.0,-0.63%,5000.0,19071.0,,,
129.0,대우조선해양,17700.0,1200.0,-6.35%,5000.0,18990.0,44866.0,-17547.0,-16998.0
130.0,영원무역,42600.0,400.0,+0.95%,500.0,18877.0,27925.0,4425.0,3343.0
131.0,LS,58100.0,1500.0,-2.52%,5000.0,18708.0,130891.0,5837.0,3521.0
132.0,한솔케미칼,165000.0,9000.0,-5.17%,5000.0,18703.0,7687.0,1977.0,1587.0
133.0,한전기술,48900.0,3100.0,-5.96%,200.0,18690.0,4331.0,101.0,165.0
134.0,LIG넥스원,84400.0,9900.0,-10.50%,5000.0,18568.0,18222.0,972.0,1051.0
135.0,GS건설,21650.0,1300.0,-5.66%,5000.0,18528.0,90366.0,6465.0,4288.0
136.0,휠라홀딩스,29850.0,300.0,-1.00%,1000.0,18135.0,37940.0,4929.0,3378.0
137.0,TIGER 200,28365.0,475.0,-1.65%,0.0,17998.0,,,
138.0,TIGER 미국S&P500,12865.0,100.0,-0.77%,0.0,17792.0,,,
139.0,CJ대한통운,77500.0,1100.0,-1.40%,5000.0,17680.0,113437.0,3439.0,1583.0
140.0,한화,23250.0,1150.0,-4.71%,5000.0,17428.0,528361.0,29279.0,21621.0
141.0,DB하이텍,39100.0,350.0,-0.89%,5000.0,17360.0,12147.0,3991.0,3169.0
142.0,농심,284000.0,3000.0,-1.05%,5000.0,17275.0,26630.0,1061.0,996.0
143.0,하이트진로,24000.0,1150.0,-4.57%,5000.0,16832.0,22029.0,1741.0,718.0
144.0,코스모신소재,54700.0,100.0,-0.18%,1000.0,16766.0,3059.0,218.0,180.0
145.0,대웅제약,143500.0,6000.0,-4.01%,2500.0,16627.0,11530.0,889.0,303.0
146.0,대우건설,4000.0,175.0,-4.19%,5000.0,16625.0,86852.0,7383.0,4849.0
147.0,한화생명,1895.0,65.0,-3.32%,5000.0,16459.0,271736.0,13520.0,12492.0
148.0,대한전선,1320.0,120.0,-8.33%,100.0,16427.0,19977.0,395.0,289.0
149.0,LX인터내셔널,42050.0,1150.0,-2.66%,5000.0,16299.0,166865.0,6562.0,5403.0
150.0,오뚜기,439500.0,1500.0,-0.34%,5000.0,16138.0,27390.0,1666.0,1300.0
151.0,두산퓨얼셀,24450.0,2100.0,-7.91%,100.0,16013.0,3814.0,180.0,87.0
152.0,TIGER TOP10,9400.0,120.0,-1.26%,0.0,15942.0,,,
153.0,KODEX 삼성그룹,8115.0,100.0,-1.22%,0.0,15727.0,,,
154.0,TIGER 단기통안채,101450.0,35.0,+0.03%,0.0,15718.0,,,
155.0,TIGER CD금리투자KIS(합성),51295.0,10.0,+0.02%,0.0,15348.0,,,
156.0,현대위아,55900.0,2300.0,-3.95%,5000.0,15202.0,75277.0,1027.0,561.0
157.0,효성,71900.0,700.0,-0.96%,5000.0,15150.0,35389.0,6406.0,5406.0
158.0,서울가스,298000.0,3000.0,-1.00%,5000.0,14900.0,12778.0,-49.0,85.0
159.0,대성홀딩스,92100.0,600.0,-0.65%,1000.0,14818.0,9405.0,213.0,239.0
160.0,롯데정밀화학,57300.0,1800.0,-3.05%,5000.0,14783.0,17803.0,2445.0,5855.0
161.0,KODEX 200TR,9475.0,150.0,-1.56%,0.0,14653.0,,,
162.0,KODEX 단기채권PLUS,104225.0,25.0,+0.02%,0.0,14583.0,,,
163.0,JB금융지주,7200.0,20.0,+0.28%,5000.0,14183.0,25415.0,7083.0,5254.0
164.0,LS ELECTRIC,46650.0,1800.0,-3.72%,5000.0,13995.0,26683.0,1551.0,853.0
165.0,효성첨단소재,312000.0,13000.0,-4.00%,5000.0,13977.0,35978.0,4373.0,3300.0
166.0,SK케미칼,78700.0,1400.0,-1.75%,5000.0,13868.0,20896.0,5552.0,2687.0
167.0,한전KPS,30050.0,1400.0,-4.45%,200.0,13522.0,13806.0,1240.0,987.0
168.0,TIGER 미국테크TOP10 INDXX,9960.0,55.0,-0.55%,0.0,13317.0,,,
169.0,녹십자,113500.0,5000.0,-4.22%,5000.0,13264.0,15378.0,737.0,1369.0
170.0,DL이앤씨,34050.0,1400.0,-3.95%,5000.0,13175.0,76317.0,9573.0,6358.0
171.0,롯데칠성,140000.0,4000.0,-2.78%,500.0,12990.0,25061.0,1822.0,1371.0
172.0,에스엘,27900.0,500.0,-1.76%,500.0,12959.0,30011.0,1105.0,962.0
173.0,TIGER 미국필라델피아반도체나스닥,8445.0,185.0,-2.14%,0.0,12807.0,,,
174.0,현대백화점,53700.0,300.0,-0.56%,5000.0,12567.0,35724.0,2644.0,2334.0
175.0,두산,75900.0,5000.0,-6.18%,5000.0,12542.0,132042.0,9459.0,6567.0
176.0,동원시스템즈,43000.0,1950.0,-4.34%,5000.0,12466.0,12509.0,900.0,481.0
177.0,KODEX 2차전지산업,18450.0,190.0,-1.02%,0.0,12435.0,,,
178.0,대덕전자,24650.0,50.0,-0.20%,500.0,12181.0,10009.0,725.0,630.0
179.0,KODEX 종합채권(AA-이상)액티브,98800.0,5.0,+0.01%,0.0,12083.0,,,
180.0,효성티앤씨,278500.0,7000.0,-2.45%,5000.0,12053.0,85960.0,14237.0,10079.0
181.0,DGB금융지주,7000.0,0.0,0.00%,5000.0,11840.0,51957.0,7486.0,5538.0
182.0,DL,56500.0,2200.0,-3.75%,5000.0,11840.0,23854.0,2219.0,8750.0
183.0,TIGER 2차전지테마,17335.0,235.0,-1.34%,0.0,11718.0,,,
184.0,영풍,635000.0,17000.0,-2.61%,5000.0,11697.0,35821.0,-268.0,1701.0
185.0,롯데제과,123000.0,6000.0,-4.65%,500.0,11605.0,21454.0,1085.0,363.0
186.0,현대일렉트릭,32100.0,1000.0,-3.02%,5000.0,11571.0,18060.0,97.0,-337.0
187.0,코오롱인더,41850.0,1550.0,-3.57%,5000.0,11517.0,46621.0,2527.0,2038.0
188.0,한미반도체,11450.0,500.0,-4.18%,100.0,11326.0,3732.0,1224.0,1044.0
189.0,한국앤컴퍼니,11600.0,400.0,-3.33%,500.0,11012.0,9633.0,2283.0,2000.0
190.0,삼천리,269500.0,6500.0,-2.36%,5000.0,10928.0,37633.0,700.0,711.0
191.0,KODEX 단기채권,103860.0,20.0,+0.02%,0.0,10885.0,,,
192.0,금양,18700.0,4300.0,+29.86%,500.0,10855.0,2177.0,121.0,133.0
193.0,롯데리츠,4435.0,275.0,-5.84%,500.0,10776.0,575.0,337.0,190.0
194.0,롯데렌탈,29200.0,1050.0,-3.47%,5000.0,10697.0,24227.0,2455.0,1136.0
195.0,대웅,18200.0,850.0,-4.46%,500.0,10582.0,15114.0,1826.0,1000.0
196.0,동국제강,11050.0,250.0,-2.21%,5000.0,10545.0,72403.0,8030.0,5586.0
197.0,후성,11250.0,750.0,-6.25%,500.0,10418.0,3813.0,581.0,313.0
198.0,신풍제약,19350.0,450.0,-2.27%,500.0,10253.0,1892.0,-143.0,-115.0
199.0,SK가스,110500.0,2000.0,-1.78%,5000.0,10199.0,64945.0,1055.0,2493.0
200.0,일진하이솔루스,28050.0,1350.0,-4.59%,500.0,10186.0,1177.0,98.0,90.0
201.0,KBSTAR 200,28515.0,445.0,-1.54%,0.0,9937.0,,,
202.0,TIGER MSCI Korea TR,11790.0,155.0,-1.30%,0.0,9927.0,,,
203.0,솔루스첨단소재,28250.0,1300.0,-4.40%,100.0,9919.0,3812.0,20.0,2.0
204.0,SK네트웍스,3805.0,75.0,-1.93%,2500.0,9444.0,110181.0,1220.0,1035.0
205.0,PI첨단소재,31750.0,1500.0,-4.51%,500.0,9324.0,3019.0,759.0,640.0
206.0,GKL,14900.0,100.0,-0.67%,500.0,9216.0,851.0,-1458.0,-1133.0
207.0,ESR켄달스퀘어리츠,4270.0,230.0,-5.11%,1000.0,9099.0,467.0,238.0,302.0
208.0,덴티움,82200.0,400.0,+0.49%,500.0,9099.0,2915.0,699.0,555.0
209.0,한샘,38650.0,1400.0,-3.50%,1000.0,9096.0,22312.0,693.0,572.0
210.0,아이에스동서,29300.0,1050.0,-3.46%,500.0,9052.0,16084.0,3108.0,1107.0
211.0,KODEX 코스닥150레버리지,5905.0,255.0,-4.14%,0.0,9029.0,,,
212.0,SK리츠,4550.0,200.0,-4.21%,500.0,8943.0,186.0,152.0,88.0
213.0,오리온홀딩스,14250.0,450.0,-3.06%,500.0,8927.0,24151.0,3157.0,2253.0
214.0,현대엘리베이,21850.0,950.0,-4.17%,5000.0,8918.0,19734.0,1290.0,1123.0
215.0,신세계인터내셔날,24900.0,100.0,+0.40%,1000.0,8889.0,14508.0,920.0,826.0
216.0,현대두산인프라코어,4485.0,135.0,-2.92%,1000.0,8870.0,45937.0,2645.0,5678.0
217.0,KODEX 인버스,5435.0,90.0,+1.68%,0.0,8859.0,,,
218.0,미원에스씨,172000.0,2000.0,-1.15%,500.0,8772.0,5313.0,950.0,799.0
219.0,종근당,73000.0,1800.0,-2.41%,2500.0,8751.0,13436.0,948.0,424.0
220.0,금호타이어,3045.0,95.0,-3.03%,5000.0,8747.0,26012.0,-415.0,-719.0
221.0,코리안리,7250.0,110.0,-1.49%,500.0,8727.0,109155.0,2035.0,1533.0
222.0,동원산업,236500.0,3000.0,-1.25%,5000.0,8698.0,28022.0,2607.0,1715.0
223.0,더존비즈온,28500.0,750.0,-2.56%,500.0,8659.0,3187.0,712.0,544.0
224.0,아시아나항공,11600.0,200.0,-1.69%,5000.0,8632.0,43397.0,932.0,-5168.0
225.0,제이알글로벌리츠,4300.0,40.0,-0.92%,1000.0,8487.0,491.0,241.0,132.0
226.0,솔루엠,16950.0,750.0,-4.24%,500.0,8476.0,11533.0,265.0,133.0
227.0,더블유게임즈,45800.0,700.0,-1.51%,500.0,8416.0,6241.0,1904.0,1563.0
228.0,미원상사,168500.0,0.0,0.00%,500.0,8374.0,3598.0,572.0,577.0
229.0,코스모화학,23350.0,0.0,0.00%,1000.0,8174.0,5126.0,305.0,235.0
230.0,TKG휴켐스,19900.0,350.0,-1.73%,1000.0,8135.0,8612.0,934.0,776.0
231.0,명신산업,15300.0,850.0,-5.26%,500.0,8028.0,11077.0,565.0,453.0
232.0,하나투어,49550.0,1950.0,-3.79%,500.0,7947.0,403.0,-1273.0,-704.0
233.0,태광산업,710000.0,7000.0,-0.98%,5000.0,7905.0,25918.0,3553.0,3184.0
